TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
36,NaN,NaN,NaN,92100,NaN,45184,NaN,Ruhemodus....  ,2021-12-27 10:40:46.406402
36,NaN,NaN,NaN,92104,NaN,45186,NaN,Ruhemodus....  ,2021-12-28 12:44:59.445049
36,NaN,NaN,NaN,92105,NaN,45186,NaN,Ruhemodus....  ,2021-12-28 12:59:45.046139
36,NaN,NaN,NaN,92105,NaN,45186,NaN,Ruhemodus....  ,2021-12-29 16:10:58.835258
35,NaN,NaN,NaN,92128,NaN,45209,NaN,Ruhemodus....  ,2021-12-30 15:18:38.077773
34,NaN,NaN,NaN,92146,NaN,45220,NaN,Ruhemodus....  ,2022-01-03 08:28:25.298072
34,NaN,NaN,NaN,92146,NaN,45220,NaN,Ruhemodus....  ,2022-01-03 12:55:56.492093
34,NaN,NaN,NaN,92146,NaN,45230,NaN,Ruhemodus....  ,2022-01-04 09:04:51.178525
34,NaN,NaN,NaN,92151,NaN,45230,NaN,Ruhemodus....  ,2022-01-04 10:18:38.503233
33,NaN,NaN,NaN,92190,NaN,45287,NaN,Ruhemodus....  ,2022-01-06 12:26:57.971097
33,NaN,NaN,NaN,92198,NaN,45287,NaN,Ruhemodus....  ,2022-01-06 14:27:27.911788
33,NaN,NaN,NaN,92201,NaN,45287,NaN,Fertig.,2022-01-06 14:57:28.299780
33,NaN,NaN,NaN,92201,NaN,45287,NaN,Ruhemodus....  ,2022-01-06 15:29:16.272352
31,NaN,NaN,NaN,92257,NaN,45320,NaN,Ruhemodus...,2022-01-12 08:19:56.167649
31,NaN,NaN,NaN,92257,NaN,45320,NaN,Ruhemodus....  ,2022-01-12 10:44:25.381487
31,NaN,NaN,NaN,92265,NaN,45320,NaN,Ruhemodus....  ,2022-01-12 11:20:13.029644
31,NaN,NaN,NaN,92265,NaN,45321,NaN,Ruhemodus....  ,2022-01-12 12:35:22.761520
30,NaN,NaN,NaN,92265,NaN,45363,NaN,Ruhemodus....  ,2022-01-13 14:15:49.991850
30,NaN,NaN,NaN,92265,NaN,45363,NaN,Ruhemodus....  ,2022-01-13 14:51:35.687794
30,NaN,NaN,NaN,92266,NaN,45364,NaN,Ruhemodus....  ,2022-01-13 15:27:17.031560
30,NaN,NaN,NaN,92267,NaN,45365,NaN,Ruhemodus....  ,2022-01-14 09:11:11.001633
30,NaN,NaN,NaN,92267,NaN,45385,NaN,Ruhemodus....  ,2022-01-14 10:23:47.992540
30,NaN,NaN,NaN,92268,NaN,45405,NaN,Ruhemodus....  ,2022-01-14 10:59:18.456315
30,NaN,NaN,NaN,92268,NaN,45405,NaN,Ruhemodus....  ,2022-01-14 13:59:26.538968
30,NaN,NaN,NaN,92269,NaN,45405,NaN,Ruhemodus....  ,2022-01-14 14:36:07.526549
29,NaN,NaN,NaN,92292,NaN,45418,NaN,Ruhemodus....  ,2022-01-18 08:36:15.020951
29,NaN,NaN,NaN,92295,NaN,45418,NaN,Fertig.,2022-01-18 09:45:19.421654
29,NaN,NaN,NaN,92295,NaN,45418,NaN,Ruhemodus....  ,2022-01-18 11:36:08.503025
29,NaN,NaN,NaN,92296,NaN,45418,NaN,Ruhemodus....  ,2022-01-18 12:11:51.679180
29,NaN,NaN,NaN,92302,NaN,45418,NaN,Ruhemodus....  ,2022-01-18 12:47:17.818905
29,NaN,NaN,NaN,92302,NaN,45421,NaN,Ruhemodus....  ,2022-01-18 13:17:36.235826
29,NaN,NaN,NaN,92302,NaN,45441,NaN,Fertig.,2022-01-18 13:52:58.056272
28,NaN,NaN,NaN,92307,NaN,45443,NaN,Ruhemodus....  ,2022-01-19 07:43:47.697905
28,NaN,NaN,NaN,92319,NaN,45443,NaN,Ruhemodus....  ,2022-01-19 08:56:10.427005
28,NaN,NaN,NaN,92319,NaN,45444,NaN,Ruhemodus....  ,2022-01-19 09:33:07.465137
28,NaN,NaN,NaN,92335,NaN,45460,NaN,Ruhemodus....  ,2022-01-20 10:35:07.898802
28,NaN,NaN,NaN,92335,NaN,45471,NaN,Ruhemodus....  ,2022-01-20 13:32:44.928736
27,NaN,NaN,NaN,92335,NaN,45472,NaN,Ruhemodus....  ,2022-01-20 14:07:52.637795
27,NaN,NaN,NaN,92336,NaN,45472,NaN,Ruhemodus....  ,2022-01-20 14:43:08.039300
27,NaN,NaN,NaN,92336,NaN,45473,NaN,Ruhemodus....  ,2022-01-20 15:18:17.751631
26,NaN,NaN,NaN,92382,NaN,45510,NaN,Ruhemodus....  ,2022-01-25 09:19:48.394020
26,NaN,NaN,NaN,92383,NaN,45510,NaN,Ruhemodus....  ,2022-01-25 10:31:16.888574
26,NaN,NaN,NaN,92384,NaN,45510,NaN,Ruhemodus....  ,2022-01-25 11:41:17.056468
26,NaN,NaN,NaN,92386,NaN,45510,NaN,Ruhemodus....  ,2022-01-25 13:40:40.329968
25,NaN,NaN,NaN,92410,NaN,45567,NaN,Ruhemodus....  ,2022-01-26 12:22:34.917941
25,NaN,NaN,NaN,92413,NaN,45567,NaN,Ruhemodus....  ,2022-01-26 14:09:22.731759
25,NaN,NaN,NaN,92419,NaN,45571,NaN,Ruhemodus....  ,2022-01-26 15:55:59.119398
23,NaN,NaN,NaN,92497,NaN,45636,NaN,Ruhemodus....  ,2022-01-31 08:48:45.035056
23,NaN,NaN,NaN,92497,NaN,45637,NaN,Ruhemodus....  ,2022-01-31 14:02:35.825562
21,NaN,NaN,NaN,92559,NaN,45687,NaN,Ruhemodus....  ,2022-02-07 10:05:21.584994
21,NaN,NaN,NaN,92562,NaN,45687,NaN,Ruhemodus....  ,2022-02-07 14:56:19.913947
19,NaN,NaN,NaN,92634,NaN,45736,NaN,Ruhemodus....  ,2022-02-15 08:49:30.876369
18,NaN,NaN,NaN,92634,NaN,45738,NaN,Ruhemodus....  ,2022-02-15 09:57:55.399058
16,NaN,NaN,NaN,92736,NaN,45781,NaN,Ruhemodus....  ,2022-02-22 07:51:23.056640
16,NaN,NaN,NaN,92738,NaN,45781,NaN,Ruhemodus....  ,2022-02-22 09:02:31.314904
16,NaN,NaN,NaN,92740,NaN,45781,NaN,Ruhemodus....  ,2022-02-22 09:37:44.815269
16,NaN,NaN,NaN,92741,NaN,45781,NaN,Ruhemodus....  ,2022-02-22 10:12:51.932852
15,NaN,NaN,NaN,92757,NaN,45794,NaN,Ruhemodus....  ,2022-02-23 15:32:32.014306
12,NaN,NaN,NaN,92868,NaN,45843,NaN,Ruhemodus....  ,2022-03-03 11:08:09.713373
12,NaN,NaN,NaN,92868,NaN,45844,NaN,Ruhemodus....  ,2022-03-03 11:59:00.170674
12,NaN,NaN,NaN,92876,NaN,45847,NaN,Ruhemodus....  ,2022-03-04 09:41:09.591998
12,NaN,NaN,NaN,92876,NaN,45849,NaN,Ruhemodus....  ,2022-03-04 10:36:53.495888
12,NaN,NaN,NaN,92876,NaN,45849,NaN,Fertig.,2022-03-04 10:42:36.090473
12,NaN,NaN,NaN,92876,NaN,45849,NaN,Ruhemodus....  ,2022-03-04 11:11:08.690125
12,NaN,NaN,NaN,92877,NaN,45849,NaN,Fertig.,2022-03-04 11:18:17.456473
12,NaN,NaN,NaN,92877,NaN,45849,NaN,Ruhemodus....  ,2022-03-04 11:53:44.501164
10,NaN,NaN,NaN,92921,NaN,45892,NaN,Ruhemodus....  ,2022-03-10 10:23:37.834120
10,NaN,NaN,NaN,92921,NaN,45893,NaN,Ruhemodus....  ,2022-03-10 12:13:08.206992
10,NaN,NaN,NaN,92921,NaN,45894,NaN,Fertig.,2022-03-10 12:18:42.188690
10,NaN,NaN,NaN,92921,NaN,45894,NaN,Ruhemodus....  ,2022-03-10 12:49:40.654165
10,NaN,NaN,NaN,92922,NaN,45894,NaN,Ruhemodus....  ,2022-03-10 13:34:16.219705
10,NaN,NaN,NaN,92924,NaN,45894,NaN,Ruhemodus....  ,2022-03-10 13:39:48.500341
10,NaN,NaN,NaN,92924,NaN,45895,NaN,Fertig.,2022-03-10 13:46:02.795983
10,NaN,NaN,NaN,92924,NaN,45895,NaN,Ruhemodus....  ,2022-03-10 15:55:28.394687
10,NaN,NaN,NaN,92926,NaN,45895,NaN,Fertig.,2022-03-10 16:01:37.584155
10,NaN,NaN,NaN,92927,NaN,45895,NaN,Ruhemodus....  ,2022-03-10 16:23:03.033973
9,NaN,NaN,NaN,92940,NaN,45955,NaN,Ruhemodus....  ,2022-03-15 16:19:06.633697
9,NaN,NaN,NaN,92940,NaN,45957,NaN,Ruhemodus....  ,2022-03-15 16:25:08.004448
9,NaN,NaN,NaN,92941,NaN,45957,NaN,Ruhemodus....,2022-03-16 11:42:56.519326
9,NaN,NaN,NaN,92951,NaN,45957,NaN,Ruhemodus....,2022-03-16 11:52:56.840492
8,NaN,NaN,NaN,92960,NaN,45957,NaN,Verarbeiten,2022-03-16 11:57:56.872149
8,NaN,NaN,NaN,92966,NaN,45957,NaN,Ruhemodus....,2022-03-16 13:22:59.574347
8,NaN,NaN,NaN,92968,NaN,45957,NaN,Fertig.,2022-03-16 13:27:58.647184
8,NaN,NaN,NaN,92968,NaN,45957,NaN,Ruhemodus....,2022-03-16 13:32:58.896728
8,NaN,NaN,NaN,92969,NaN,45957,NaN,Ruhemodus....,2022-03-16 16:28:14.972961
6,NaN,NaN,NaN,93108,NaN,46013,NaN,Ruhemodus....,2022-03-23 10:51:56.261187
6,NaN,NaN,NaN,93109,NaN,46013,NaN,Ruhemodus....,2022-03-23 11:21:56.867281
6,NaN,NaN,NaN,93110,NaN,46020,NaN,Ruhemodus....,2022-03-24 14:20:18.363811
6,NaN,NaN,NaN,93152,NaN,46042,NaN,Ruhemodus....,2022-03-29 09:33:44.978552
6,NaN,NaN,NaN,93152,NaN,46057,NaN,Ruhemodus....,2022-03-29 10:18:47.675421
6,NaN,NaN,NaN,93153,NaN,46057,NaN,Ruhemodus....,2022-03-29 11:28:46.834349
6,NaN,NaN,NaN,93154,NaN,46057,NaN,Ruhemodus....,2022-03-29 11:58:47.375306
6,NaN,NaN,NaN,93154,NaN,46058,NaN,Ruhemodus....,2022-03-29 12:08:47.544574
6,NaN,NaN,NaN,93155,NaN,46058,NaN,Ruhemodus....,2022-03-29 12:13:47.504510
6,NaN,NaN,NaN,93159,NaN,46060,NaN,Ruhemodus....,2022-03-29 16:45:16.718980
6,NaN,NaN,NaN,93159,NaN,46065,NaN,Ruhemodus....,2022-03-29 16:50:16.993862
6,NaN,NaN,NaN,93161,NaN,46073,NaN,Ruhemodus....,2022-03-30 10:58:20.088686
6,NaN,NaN,NaN,93161,NaN,46075,NaN,Ruhemodus....,2022-03-30 11:03:20.240558
6,NaN,NaN,NaN,93161,NaN,46076,NaN,Fertig.,2022-03-30 11:08:20.795883
6,NaN,NaN,NaN,93161,NaN,46076,NaN,Ruhemodus....,2022-03-30 14:23:24.052581
6,NaN,NaN,NaN,93163,NaN,46076,NaN,Ruhemodus....,2022-03-30 16:03:26.451795
6,NaN,NaN,NaN,93163,NaN,46086,NaN,Fertig.,2022-03-30 16:08:26.151265
6,NaN,NaN,NaN,93163,NaN,46086,NaN,Ruhemodus....,2022-03-30 16:33:26.897970
6,NaN,NaN,NaN,93168,NaN,46086,NaN,Ruhemodus....,2022-03-31 09:14:07.209017
6,NaN,NaN,NaN,93171,NaN,46086,NaN,Ruhemodus....,2022-03-31 14:34:14.492135
6,NaN,NaN,NaN,93177,NaN,46086,NaN,Ruhemodus....,2022-03-31 14:44:13.724740
6,NaN,NaN,NaN,93179,NaN,46086,NaN,Ruhemodus....,2022-03-31 16:04:15.208373
6,NaN,NaN,NaN,93179,NaN,46087,NaN,Fertig.,2022-03-31 16:09:16.644852
6,NaN,NaN,NaN,93179,NaN,46087,NaN,Ruhemodus....,2022-03-31 16:34:17.117534
6,NaN,NaN,NaN,93179,NaN,46106,NaN,Ruhemodus....,2022-04-01 12:52:40.700985
6,NaN,NaN,NaN,93182,NaN,46106,NaN,Ruhemodus....,2022-04-01 13:02:40.745373
6,NaN,NaN,NaN,93182,NaN,46131,NaN,Ruhemodus....,2022-04-01 13:57:42.779761
6,NaN,NaN,NaN,93182,NaN,46131,NaN,Fertig.,2022-04-01 14:02:42.358451
6,NaN,NaN,NaN,93183,NaN,46131,NaN,Ruhemodus....,2022-04-01 15:17:43.289753
6,NaN,NaN,NaN,93192,NaN,46156,NaN,Ruhemodus....,2022-04-04 14:15:53.805622
6,NaN,NaN,NaN,93193,NaN,46156,NaN,Ruhemodus....,2022-04-04 16:31:10.268838
6,NaN,NaN,NaN,93193,NaN,46166,NaN,Ruhemodus....,2022-04-05 11:12:35.544660
6,NaN,NaN,NaN,93193,NaN,46167,NaN,Ruhemodus....,2022-04-05 11:37:35.699223
6,NaN,NaN,NaN,93193,NaN,46168,NaN,Fertig.,2022-04-05 11:42:35.661967
6,NaN,NaN,NaN,93193,NaN,46168,NaN,Ruhemodus....,2022-04-05 15:27:40.232344
6,NaN,NaN,NaN,93193,NaN,46169,NaN,Fertig.,2022-04-05 15:32:40.160224
6,NaN,NaN,NaN,93193,NaN,46169,NaN,Ruhemodus....,2022-04-05 16:37:41.387661
6,NaN,NaN,NaN,93193,NaN,46170,NaN,Ruhemodus....,2022-04-05 16:42:41.562406
6,NaN,NaN,NaN,93198,NaN,46176,NaN,Ruhemodus....,2022-04-06 10:58:05.443284
6,NaN,NaN,NaN,93198,NaN,46176,NaN,Ruhemodus,2022-04-06 16:26:35.897665
6,NaN,NaN,NaN,93198,NaN,46176,NaN,Verarbeiten,2022-04-06 16:31:36.221799
6,NaN,NaN,NaN,93200,NaN,46176,NaN,Ruhemodus....,2022-04-06 16:36:36.150396
6,NaN,NaN,NaN,93200,NaN,46177,NaN,Ruhemodus....,2022-04-07 08:47:51.566843
6,NaN,NaN,NaN,93200,NaN,46178,NaN,Ruhemodus....,2022-04-07 09:02:52.815276
6,NaN,NaN,NaN,93200,NaN,46179,NaN,Fertig.,2022-04-07 09:07:53.623702
6,NaN,NaN,NaN,93200,NaN,46179,NaN,Ruhemodus....,2022-04-07 11:29:10.134924
6,NaN,NaN,NaN,93200,NaN,46180,NaN,Ruhemodus....,2022-04-07 16:04:01.073057
6,NaN,NaN,NaN,93218,NaN,46180,NaN,Ruhemodus....,2022-04-07 16:28:38.199905
6,NaN,NaN,NaN,93335,NaN,46264,NaN,Ruhemodus....,2022-04-21 10:45:19.442566
6,NaN,NaN,NaN,93336,NaN,46264,NaN,Ruhemodus....,2022-04-21 13:10:53.140954
6,NaN,NaN,NaN,93338,NaN,46264,NaN,Ruhemodus....,2022-04-21 14:56:01.245151
6,NaN,NaN,NaN,93338,NaN,46266,NaN,Ruhemodus....,2022-04-21 16:30:57.042297
6,NaN,NaN,NaN,93338,NaN,46282,NaN,Ruhemodus....,2022-04-22 11:40:13.875248
6,NaN,NaN,NaN,93338,NaN,46292,NaN,Papier in Kasset,2022-04-22 12:00:14.187665
6,NaN,NaN,NaN,93338,NaN,46292,NaN,Verarbeiten,2022-04-22 12:05:14.634815
6,NaN,NaN,NaN,93338,NaN,46297,NaN,Ruhemodus....,2022-04-22 12:55:15.212918
6,NaN,NaN,NaN,93338,NaN,46298,NaN,Ruhemodus....,2022-04-22 15:35:18.299939
6,NaN,NaN,NaN,93357,NaN,46301,NaN,Ruhemodus....,2022-04-25 13:31:33.857822
6,NaN,NaN,NaN,93357,NaN,46302,NaN,Fertig.,2022-04-25 13:36:34.564250
6,NaN,NaN,NaN,93357,NaN,46302,NaN,Ruhemodus....,2022-04-25 14:16:34.927838
6,NaN,NaN,NaN,93389,NaN,46319,NaN,Ruhemodus....,2022-04-27 10:19:03.141329
6,NaN,NaN,NaN,93390,NaN,46319,NaN,Ruhemodus....,2022-04-27 12:50:53.504589
6,NaN,NaN,NaN,93397,NaN,46319,NaN,Verarbeiten,2022-04-27 12:55:53.638835
6,NaN,NaN,NaN,93398,NaN,46319,NaN,Ruhemodus....,2022-04-27 15:11:56.079447
6,NaN,NaN,NaN,93400,NaN,46319,NaN,Ruhemodus....,2022-04-27 16:27:25.416259
6,NaN,NaN,NaN,93401,NaN,46319,NaN,Fertig.,2022-04-27 16:32:26.984091
6,NaN,NaN,NaN,93402,NaN,46323,NaN,Ruhemodus....,2022-04-28 16:34:22.021733
6,NaN,NaN,NaN,93406,NaN,46334,NaN,Ruhemodus....,2022-04-29 11:59:45.917720
6,NaN,NaN,NaN,93407,NaN,46344,NaN,Ruhemodus....,2022-04-29 15:05:27.038455
6,NaN,NaN,NaN,93414,NaN,46368,NaN,Ruhemodus....,2022-05-02 13:44:04.931594
6,NaN,NaN,NaN,93414,NaN,46368,NaN,Verarbeiten,2022-05-02 13:49:04.191734
6,NaN,NaN,NaN,93418,NaN,46368,NaN,Verarbeiten,2022-05-02 13:54:05.733163
6,NaN,NaN,NaN,93424,NaN,46368,NaN,Ruhemodus....,2022-05-02 16:25:07.435052
6,NaN,NaN,NaN,93425,NaN,46369,NaN,Ruhemodus....,2022-05-03 10:29:37.438731
6,NaN,NaN,NaN,93425,NaN,46369,NaN,Fertig.,2022-05-03 10:34:38.800618
6,NaN,NaN,NaN,93426,NaN,46369,NaN,Ruhemodus....,2022-05-03 10:44:42.256587
6,NaN,NaN,NaN,93428,NaN,46369,NaN,Ruhemodus....,2022-05-03 11:50:13.136756
6,NaN,NaN,NaN,93430,NaN,46369,NaN,Fertig.,2022-05-03 11:55:15.066205
6,NaN,NaN,NaN,93430,NaN,46369,NaN,Ruhemodus....,2022-05-03 12:10:20.855060
6,NaN,NaN,NaN,93431,NaN,46369,NaN,Fertig.,2022-05-03 12:15:22.452242
6,NaN,NaN,NaN,93431,NaN,46369,NaN,Ruhemodus....,2022-05-03 12:20:25.911907
6,NaN,NaN,NaN,93433,NaN,46369,NaN,Ruhemodus....,2022-05-03 12:25:28.195991
6,NaN,NaN,NaN,93433,NaN,46371,NaN,Ruhemodus....,2022-05-03 12:35:31.522851
6,NaN,NaN,NaN,93439,NaN,46371,NaN,Verarbeiten,2022-05-03 12:40:32.803270
6,NaN,NaN,NaN,93493,NaN,46371,NaN,Ruhemodus....,2022-05-03 12:55:37.673053
6,NaN,NaN,NaN,93493,NaN,46377,NaN,Verarbeiten,2022-05-03 13:00:39.233440
6,NaN,NaN,NaN,93493,NaN,46391,NaN,Ruhemodus....,2022-05-03 13:30:51.162961
6,NaN,NaN,NaN,93508,NaN,46391,NaN,Ruhemodus....,2022-05-03 16:26:59.127018
6,NaN,NaN,NaN,93509,NaN,46391,NaN,Ruhemodus....,2022-05-03 16:32:00.924520
6,NaN,NaN,NaN,93511,NaN,46391,NaN,Fertig.,2022-05-03 16:37:03.445163
6,NaN,NaN,NaN,93511,NaN,46391,NaN,Ruhemodus....,2022-05-03 16:47:07.157535
5,NaN,NaN,NaN,93512,NaN,46468,NaN,Ruhemodus,2022-05-04 12:10:00.234984
5,NaN,NaN,NaN,93512,NaN,46468,NaN,Ruhemodus....,2022-05-04 12:15:02.302145
5,NaN,NaN,NaN,93515,NaN,46468,NaN,Ruhemodus,2022-05-04 13:05:24.239443
5,NaN,NaN,NaN,93515,NaN,46469,NaN,Ruhemodus....,2022-05-04 16:31:16.599525
5,NaN,NaN,NaN,93520,NaN,46490,NaN,Ruhemodus....,2022-05-05 11:32:08.549091
5,NaN,NaN,NaN,93520,NaN,46492,NaN,Ruhemodus....,2022-05-05 15:03:26.331423
5,NaN,NaN,NaN,93520,NaN,46494,NaN,Fertig.,2022-05-05 15:08:27.425292
5,NaN,NaN,NaN,93520,NaN,46494,NaN,Ruhemodus....,2022-05-05 15:48:41.899018
5,NaN,NaN,NaN,93522,NaN,46494,NaN,Ruhemodus....,2022-05-05 15:53:44.191680
5,NaN,NaN,NaN,93523,NaN,46494,NaN,Ruhemodus....,2022-05-05 16:18:53.852446
5,NaN,NaN,NaN,93523,NaN,46495,NaN,Ruhemodus....,2022-05-05 16:28:57.528511
5,NaN,NaN,NaN,93528,NaN,46496,NaN,Ruhemodus....,2022-05-06 10:25:50.821503
5,NaN,NaN,NaN,93528,NaN,46499,NaN,Ruhemodus....,2022-05-06 12:06:27.299677
5,NaN,NaN,NaN,93528,NaN,46500,NaN,Ruhemodus....,2022-05-06 12:51:46.430595
5,NaN,NaN,NaN,93530,NaN,46500,NaN,Ruhemodus....,2022-05-06 12:56:49.192426
5,NaN,NaN,NaN,93532,NaN,46500,NaN,Ruhemodus....,2022-05-06 13:42:06.600161
5,NaN,NaN,NaN,93532,NaN,46500,NaN,44 6F 6B 75 6D 6,2022-05-06 13:47:08.118609
5,NaN,NaN,NaN,93532,NaN,46501,NaN,Ruhemodus....,2022-05-06 13:57:15.821862
5,NaN,NaN,NaN,93532,NaN,46501,NaN,4F 4B 20 7A 75 6,2022-05-06 14:17:22.702581
5,NaN,NaN,NaN,93532,NaN,46501,NaN,Fertig.,2022-05-06 14:22:25.199635
5,NaN,NaN,NaN,93532,NaN,46501,NaN,Ruhemodus....,2022-05-06 14:57:43.525069
100,NaN,NaN,NaN,93558,NaN,46519,NaN,Ruhemodus....,2022-05-10 12:11:01.067214
100,NaN,NaN,NaN,93560,NaN,46519,NaN,Ruhemodus....,2022-05-10 12:31:10.036629
100,NaN,NaN,NaN,93560,NaN,46521,NaN,Ruhemodus....,2022-05-10 13:26:34.738536
100,NaN,NaN,NaN,93560,NaN,46522,NaN,Verarbeiten,2022-05-10 13:31:36.103633
100,NaN,NaN,NaN,93560,NaN,46522,NaN,Ruhemodus....,2022-05-10 13:36:37.930514
100,NaN,NaN,NaN,93561,NaN,46522,NaN,Ruhemodus....,2022-05-10 14:57:11.465819
100,NaN,NaN,NaN,93562,NaN,46522,NaN,Ruhemodus....,2022-05-10 15:32:25.782033
99,NaN,NaN,NaN,93562,NaN,46552,NaN,Fertig.,2022-05-10 15:37:29.444189
99,NaN,NaN,NaN,93562,NaN,46552,NaN,Ruhemodus....,2022-05-10 16:17:44.881793
99,NaN,NaN,NaN,93563,NaN,46552,NaN,Ruhemodus....,2022-05-10 16:27:50.213305
99,NaN,NaN,NaN,93564,NaN,46552,NaN,Ruhemodus....,2022-05-10 16:32:53.458045
99,NaN,NaN,NaN,93570,NaN,46553,NaN,Ruhemodus....,2022-05-11 09:36:29.685640
99,NaN,NaN,NaN,93570,NaN,46553,NaN,Papierstau im Dr,2022-05-11 09:41:31.560177
