TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
92,6,33,29,1786,4179,0,53,Ruhemodus...,2022-01-18 13:57:51.330793
92,6,33,28,1788,4201,0,53,Ruhemodus...,2022-01-20 10:40:01.795468
92,6,33,28,1790,4201,0,53,Ruhemodus...,2022-01-20 15:22:47.229695
92,6,33,28,1791,4204,0,53,Ruhemodus...,2022-01-26 12:27:34.179603
92,6,33,28,1791,4205,0,53,Ruhemodus...,2022-01-26 16:00:47.995105
92,6,33,28,1791,4209,0,53,Ruhemodus...,2022-01-31 08:53:20.030024
92,6,33,28,1795,4218,0,53,Ruhemodus...,2022-02-07 15:01:23.399119
91,6,32,27,1801,4284,0,53,Ruhemodus...,2022-02-15 09:26:46.524932
91,6,31,27,1801,4315,0,53,Ruhemodus...,2022-02-23 15:37:22.453379
91,6,31,27,1801,4318,0,53,Ruhemodus...,2022-03-16 16:29:35.333499
89,6,29,25,1904,4368,30,100,Ruhemodus...,2022-03-23 08:48:38.752006
88,6,29,24,1904,4378,30,100,Ruhemodus...,2022-03-23 08:53:39.399673
88,6,29,24,1904,4384,30,100,Ruhemodus...,2022-03-23 09:08:42.979617
88,6,29,24,1904,4390,30,100,Ruhemodus...,2022-03-23 09:43:37.480690
88,6,29,24,1906,4390,30,100,Ruhemodus...,2022-03-23 10:03:39.394381
88,6,29,24,1906,4393,30,100,Ruhemodus...,2022-03-23 10:23:39.609378
88,6,29,24,1907,4394,30,100,Ruhemodus...,2022-03-23 11:18:42.540380
87,6,27,22,1945,4420,60,182,Ruhemodus...,2022-03-24 11:57:14.497714
87,6,27,22,1946,4424,60,182,Ruhemodus...,2022-03-24 12:03:48.061352
87,6,27,22,1946,4432,60,182,Ruhemodus...,2022-03-24 13:36:52.068779
87,6,27,22,1946,4432,60,182,Bitte warten.,2022-03-24 13:41:55.833441
87,6,27,22,1946,4432,60,182,Ruhemodus...,2022-03-24 14:01:51.074314
87,6,27,22,1946,4432,60,183,Ruhemodus...,2022-03-24 14:11:56.711812
87,6,27,22,1952,4432,60,183,Ruhemodus...,2022-03-24 14:16:52.465824
87,6,27,22,1956,4432,60,183,Ruhemodus...,2022-03-24 14:21:54.550352
85,6,25,20,1988,4521,92,261,Ruhemodus...,2022-03-29 09:25:17.942887
85,6,25,20,1988,4521,92,261,Bitte warten.,2022-03-29 09:30:22.146584
85,6,25,20,1990,4521,92,261,Ruhemodus...,2022-03-29 09:45:17.159915
85,6,25,20,1990,4539,92,261,Ruhemodus...,2022-03-29 09:50:17.851757
85,6,25,20,1990,4540,92,261,Ruhemodus...,2022-03-29 10:50:16.927915
85,6,25,20,1990,4546,92,261,Ruhemodus...,2022-03-29 11:25:16.591070
85,6,25,20,1990,4546,92,261,Bitte warten.,2022-03-29 11:30:17.874519
85,6,25,20,1990,4546,92,261,Ruhemodus...,2022-03-29 11:35:24.555508
85,6,24,20,1990,4548,92,261,Bei dem Auftrag ist ein Fehler aufgetreten. Kassette 1 ist leer.,2022-03-29 11:40:21.673915
85,6,24,19,1995,4553,92,262,Ruhemodus...,2022-03-29 12:05:18.171489
85,6,24,19,1995,4553,92,262,Bitte warten.,2022-03-29 12:15:16.142251
85,6,24,19,2001,4574,92,264,Ruhemodus...,2022-03-29 15:14:57.037387
85,6,24,19,2001,4574,93,264,Ruhemodus...,2022-03-29 15:56:32.569340
85,6,24,19,2001,4575,93,264,Ruhemodus...,2022-03-29 16:37:02.302054
85,6,24,19,2006,4575,93,264,Ruhemodus...,2022-03-29 16:52:14.155586
84,6,23,18,2010,4580,102,315,Ruhemodus...,2022-03-30 09:36:43.089262
84,6,23,18,2011,4580,102,315,Ruhemodus...,2022-03-30 09:41:34.489852
84,6,23,18,2011,4581,102,315,Ruhemodus...,2022-03-30 10:05:01.862605
84,6,23,18,2012,4581,102,315,Ruhemodus...,2022-03-30 10:45:44.233345
84,6,23,18,2012,4582,102,315,Ruhemodus...,2022-03-30 11:49:57.199465
84,6,23,18,2012,4590,102,315,Ruhemodus...,2022-03-30 14:15:07.286083
84,6,23,18,2012,4590,102,315,Bei dem Auftrag ist ein Fehler aufgetreten. Kassette 1 ist leer.,2022-03-30 14:25:04.729707
84,6,23,18,2012,4592,102,315,Bereit,2022-03-30 14:30:03.808994
84,6,23,18,2012,4592,102,315,Ruhemodus...,2022-03-30 16:35:25.398858
84,6,22,17,2040,4610,102,315,Ruhemodus...,2022-03-31 07:36:59.308238
84,6,22,17,2041,4610,102,315,Ruhemodus...,2022-03-31 08:25:36.279405
84,6,22,17,2041,4611,102,315,Ruhemodus...,2022-03-31 08:35:35.753933
84,6,22,17,2041,4611,102,330,Bereit,2022-03-31 08:40:35.226999
84,6,22,17,2041,4611,102,345,Ruhemodus...,2022-03-31 09:15:34.683948
83,6,22,17,2041,4619,102,345,Ruhemodus...,2022-03-31 09:50:44.137804
83,6,22,17,2041,4621,102,345,Ruhemodus...,2022-03-31 10:10:39.448211
83,6,22,17,2042,4621,102,345,Ruhemodus...,2022-03-31 11:25:45.163585
83,6,22,17,2042,4623,102,345,Ruhemodus...,2022-03-31 11:30:47.896125
83,6,22,17,2044,4624,102,345,Ruhemodus...,2022-03-31 11:40:50.950867
83,6,22,17,2044,4626,102,345,Ruhemodus...,2022-03-31 11:45:42.444595
83,6,22,17,2044,4628,102,345,Ruhemodus...,2022-03-31 12:45:45.628762
83,6,22,17,2044,4628,102,347,Ruhemodus...,2022-03-31 13:35:52.996488
83,6,22,17,2044,4636,102,347,Ruhemodus...,2022-03-31 14:30:50.714464
83,6,22,17,2044,4636,102,347,Bitte warten.,2022-03-31 14:35:52.561808
83,6,22,17,2044,4636,102,347,Ruhemodus...,2022-03-31 14:50:51.665255
83,6,22,17,2044,4636,102,349,Ruhemodus...,2022-03-31 16:36:05.872449
83,6,21,16,2051,4656,112,357,Ruhemodus...,2022-04-01 09:59:24.336459
83,6,21,16,2051,4657,112,357,Ruhemodus...,2022-04-01 11:19:17.887533
83,6,21,16,2054,4657,112,357,Ruhemodus...,2022-04-01 11:44:19.790858
83,6,21,16,2054,4661,112,357,Ruhemodus...,2022-04-01 12:09:23.315029
83,6,21,16,2055,4661,112,357,Ruhemodus...,2022-04-01 13:14:27.988575
83,6,21,16,2056,4661,112,357,Ruhemodus...,2022-04-01 14:54:27.958182
83,6,21,16,2056,4662,112,357,Ruhemodus...,2022-04-01 15:04:34.446789
83,6,21,16,2056,4663,112,357,Ruhemodus...,2022-04-01 15:19:41.547510
82,6,21,15,2107,4693,118,359,Ruhemodus...,2022-04-04 09:22:39.561767
82,6,21,15,2109,4693,118,359,Ruhemodus...,2022-04-04 16:32:40.778659
81,6,20,15,2109,4729,118,359,Ruhemodus...,2022-04-05 10:34:12.615237
81,6,20,15,2109,4737,118,359,Ruhemodus...,2022-04-05 10:39:10.327746
81,6,20,15,2109,4761,118,359,Ruhemodus...,2022-04-05 10:44:09.346371
80,6,20,15,2109,4773,118,359,Ruhemodus...,2022-04-05 11:24:09.373381
80,6,20,15,2110,4773,118,359,Ruhemodus...,2022-04-05 11:29:12.468405
80,6,20,15,2112,4773,118,359,Ruhemodus...,2022-04-05 11:54:11.886477
80,6,20,15,2113,4773,118,359,Ruhemodus...,2022-04-05 12:34:12.269125
80,6,20,14,2116,4773,118,359,Ruhemodus...,2022-04-05 14:29:16.055581
80,6,20,14,2128,4773,118,359,Bei dem Auftrag ist ein Fehler aufgetreten. Kassette 1 ist leer.,2022-04-05 14:44:17.796360
80,6,20,14,2136,4773,118,359,Ruhemodus...,2022-04-05 15:24:18.710017
80,6,20,14,2136,4774,118,359,Ruhemodus...,2022-04-05 15:29:14.265395
80,6,20,14,2136,4774,118,359,Bitte warten.,2022-04-05 15:34:16.163870
80,6,20,14,2136,4774,118,364,Ruhemodus...,2022-04-05 16:39:48.812420
80,5,19,14,2144,4783,128,364,Ruhemodus...,2022-04-06 10:40:54.932512
80,5,19,14,2145,4783,128,364,Ruhemodus...,2022-04-06 10:54:58.414137
80,5,19,14,2162,4784,128,368,Bitte warten.,2022-04-06 13:38:29.850267
80,5,19,14,2162,4784,128,368,Ruhemodus...,2022-04-06 15:18:15.601348
80,5,19,14,2164,4786,128,368,Ruhemodus...,2022-04-06 16:38:42.297749
80,0,19,14,2166,4791,128,368,Toner leer.,2022-04-07 08:44:28.549809
80,0,19,14,2166,4791,128,368,Die Abdeckung des Vorlageneinzugs ist offen.,2022-04-07 08:49:31.834519
79,99,19,14,2167,4792,130,368,Bereit,2022-04-07 08:54:26.753474
79,99,19,14,2167,4792,130,368,Ruhemodus...,2022-04-07 09:29:36.306443
79,99,19,14,2167,4793,130,368,Es wird gedruckt,2022-04-07 09:34:32.298058
79,99,19,14,2167,4793,130,369,Ruhemodus...,2022-04-07 09:39:33.741681
79,99,19,14,2168,4796,130,369,Ruhemodus...,2022-04-07 09:44:34.274909
79,99,19,14,2168,4797,130,369,Ruhemodus...,2022-04-07 10:04:30.109218
79,99,19,14,2168,4797,130,372,Bereit,2022-04-07 10:09:33.135969
79,99,19,14,2168,4797,130,372,Ruhemodus...,2022-04-07 10:44:27.859606
79,99,19,13,2168,4798,130,372,Ruhemodus...,2022-04-07 10:49:28.762601
79,99,19,13,2168,4799,130,372,Ruhemodus...,2022-04-07 10:54:33.802545
79,99,19,13,2168,4800,130,372,Ruhemodus...,2022-04-07 11:30:47.769667
79,99,19,13,2172,4811,130,374,Ruhemodus...,2022-04-07 16:20:18.083186
73,94,11,6,2509,5079,194,555,Ruhemodus...,2022-04-21 10:47:10.017644
73,94,11,6,2509,5081,194,555,Ruhemodus...,2022-04-21 12:02:48.344625
73,94,11,6,2509,5082,194,555,Ruhemodus...,2022-04-21 12:07:48.041487
73,94,11,6,2509,5083,194,555,Ruhemodus...,2022-04-21 13:23:22.758919
73,94,11,6,2509,5083,194,555,Bitte warten.,2022-04-21 13:27:57.911611
73,94,11,6,2510,5083,194,555,Bereit,2022-04-21 13:33:00.620635
73,94,11,6,2510,5084,194,555,Ruhemodus...,2022-04-21 13:37:58.563294
73,94,11,6,2510,5085,194,555,Ruhemodus...,2022-04-21 13:47:55.817252
73,94,11,6,2510,5086,194,555,Ruhemodus...,2022-04-21 13:53:01.929102
73,94,11,6,2510,5087,194,555,Ruhemodus...,2022-04-21 14:12:48.073679
73,94,11,6,2511,5087,194,555,Ruhemodus...,2022-04-21 14:17:49.893980
73,94,11,6,2512,5087,194,555,Ruhemodus...,2022-04-21 14:22:50.074115
73,94,11,6,2513,5088,194,555,Ruhemodus...,2022-04-21 14:52:52.743088
73,94,11,6,2516,5088,194,555,Ruhemodus...,2022-04-21 15:38:02.268838
73,94,11,6,2516,5088,194,555,Bitte warten.,2022-04-21 15:42:57.076702
73,94,11,6,2516,5088,194,555,Ruhemodus...,2022-04-21 16:23:00.283376
73,94,11,6,2517,5089,194,555,Ruhemodus...,2022-04-21 16:32:53.608207
72,94,10,6,2537,5095,194,555,Ruhemodus...,2022-04-22 10:22:06.439965
72,94,10,6,2543,5096,194,555,Ruhemodus...,2022-04-22 10:52:05.597399
72,94,10,6,2543,5096,205,555,Es wird gedruckt,2022-04-22 10:57:04.768493
72,94,10,6,2543,5096,208,555,Ruhemodus...,2022-04-22 11:17:03.991104
72,94,10,6,2543,5098,208,555,Ruhemodus...,2022-04-22 11:37:03.647429
72,94,10,6,2546,5098,208,555,Ruhemodus...,2022-04-22 11:57:06.578845
72,94,10,6,2546,5108,208,555,Ruhemodus...,2022-04-22 12:02:06.313678
72,94,10,6,2546,5111,208,555,Ruhemodus...,2022-04-22 12:07:09.058699
72,94,10,6,2546,5111,208,557,Ruhemodus...,2022-04-22 14:07:09.549700
72,94,10,6,2547,5112,208,557,Ruhemodus...,2022-04-22 14:37:10.649357
72,94,10,6,2547,5112,208,557,Bitte warten.,2022-04-22 15:02:08.649139
72,94,10,6,2550,5112,208,557,Kopierbereit.,2022-04-22 15:32:30.523567
71,93,9,6,2576,5154,208,567,Ruhemodus...,2022-04-25 14:18:23.000209
71,93,8,6,2591,5226,225,580,Bei dem Auftrag ist ein Fehler aufgetreten. Kassette 1 ist leer.,2022-04-27 09:40:48.169633
71,93,8,6,2593,5226,225,580,Ruhemodus...,2022-04-27 09:50:42.345142
71,93,8,6,2594,5226,225,580,Ruhemodus...,2022-04-27 10:55:40.081513
70,93,8,6,2605,5227,225,580,Ruhemodus...,2022-04-27 11:00:44.405030
70,93,8,6,2616,5227,225,580,Ruhemodus...,2022-04-27 11:31:23.622325
70,93,8,6,2616,5238,225,580,Ruhemodus...,2022-04-27 12:09:33.699231
70,93,8,6,2616,5239,225,580,Ruhemodus...,2022-04-27 12:17:52.132651
70,93,8,6,2617,5242,225,580,Ruhemodus...,2022-04-27 12:42:35.208263
70,93,8,6,2623,5242,225,580,Ruhemodus...,2022-04-27 12:52:33.567446
70,93,8,6,2625,5244,225,580,Ruhemodus...,2022-04-27 13:02:33.787498
70,92,7,6,2627,5246,225,580,Ruhemodus...,2022-04-27 13:07:39.586316
70,92,7,6,2628,5247,225,580,Ruhemodus...,2022-04-27 14:08:10.466273
70,92,7,6,2628,5247,226,581,Ruhemodus...,2022-04-27 14:28:24.843144
70,92,7,6,2629,5247,226,581,Ruhemodus...,2022-04-27 16:29:18.315641
69,92,6,5,2646,5277,238,603,Ruhemodus...,2022-04-28 14:05:24.179468
69,92,6,5,2646,5278,238,603,Ruhemodus...,2022-04-28 14:35:42.626607
69,92,6,5,2646,5279,238,603,Ruhemodus...,2022-04-28 14:50:41.923318
69,92,6,5,2649,5279,238,603,Ruhemodus...,2022-04-28 15:05:50.949360
69,92,6,5,2649,5279,238,605,Bitte warten.,2022-04-28 15:10:50.182933
69,92,6,6,2649,5293,238,605,"42 69 74 74 65 20 77 61 72 74 65 6E 20 54 6F 6E 
65 72 20 7A 75 66 C3 BC 68 72 65 6E",2022-04-28 15:15:55.710378
69,92,6,6,2649,5295,238,607,Ruhemodus...,2022-04-28 16:16:09.127445
69,92,6,100,2649,5295,238,607,Bereit,2022-04-28 16:21:20.656452
69,92,6,100,2649,5295,238,607,Ruhemodus...,2022-04-28 16:31:25.408677
69,92,6,99,2665,5301,258,607,Ruhemodus...,2022-04-29 10:25:58.401885
69,92,6,99,2666,5302,258,607,Ruhemodus...,2022-04-29 10:30:56.250742
69,92,6,99,2666,5308,258,607,Ruhemodus...,2022-04-29 11:11:11.943172
69,92,6,99,2666,5310,258,607,Ruhemodus...,2022-04-29 11:16:16.669842
69,92,6,99,2666,5311,258,607,Ruhemodus...,2022-04-29 11:21:16.112574
69,92,6,99,2669,5311,258,607,Ruhemodus...,2022-04-29 12:01:30.588726
69,91,6,99,2669,5314,258,618,Ruhemodus...,2022-04-29 15:07:14.646499
67,91,6,99,2722,5369,262,653,Ruhemodus...,2022-05-02 10:04:13.366205
67,91,6,99,2723,5369,262,653,Ruhemodus...,2022-05-02 10:09:14.003272
67,91,6,99,2724,5369,262,653,Ruhemodus...,2022-05-02 11:29:45.906138
67,91,6,99,2724,5370,262,653,Ruhemodus...,2022-05-02 11:34:52.519682
67,91,6,99,2725,5370,262,653,Ruhemodus...,2022-05-02 12:15:08.749452
67,91,6,99,2725,5370,262,653,Bitte warten.,2022-05-02 12:20:14.305149
67,91,6,99,2726,5370,262,653,Ruhemodus...,2022-05-02 16:26:44.279541
67,90,6,98,2730,5388,264,661,Ruhemodus...,2022-05-03 10:16:13.235447
67,90,6,98,2730,5390,264,661,Ruhemodus...,2022-05-03 11:21:36.857118
67,90,6,98,2730,5390,264,661,Bitte warten.,2022-05-03 11:26:39.961788
67,90,6,98,2730,5390,264,689,Ruhemodus...,2022-05-03 11:46:56.017392
67,90,6,98,2730,5391,264,689,Ruhemodus...,2022-05-03 11:51:51.304518
67,90,6,98,2730,5394,264,689,Ruhemodus...,2022-05-03 12:37:13.622827
67,90,6,98,2734,5394,264,691,Bereit,2022-05-03 12:42:10.993711
67,90,6,98,2734,5395,264,691,Ruhemodus...,2022-05-03 12:47:13.186985
67,90,6,98,2734,5395,264,691,Bitte warten.,2022-05-03 12:52:14.133504
67,90,6,98,2734,5395,264,691,Ruhemodus...,2022-05-03 13:27:29.177970
67,90,6,98,2734,5396,264,691,Ruhemodus...,2022-05-03 13:32:32.690305
67,90,6,98,2734,5397,264,691,Ruhemodus...,2022-05-03 13:37:34.062102
67,90,6,98,2734,5400,264,691,Ruhemodus...,2022-05-03 13:47:35.019246
67,90,6,98,2736,5400,264,691,Ruhemodus...,2022-05-03 14:22:47.631883
67,90,6,98,2737,5400,264,691,Ruhemodus...,2022-05-03 16:18:42.368396
67,90,6,98,2737,5400,264,692,Ruhemodus...,2022-05-03 16:48:52.141052
66,90,6,98,2752,5405,289,692,Ruhemodus...,2022-05-04 11:06:44.870322
66,90,6,98,2752,5416,289,692,Bereit,2022-05-04 11:11:55.511031
66,90,6,98,2752,5416,289,692,Ruhemodus...,2022-05-04 11:16:23.750596
